mass_kg,trial_idx,rc,wall_seconds,success,reason,pelvis_z_min,pelvis_zN,base_xy_drift_max_cm,pitch_dev_max_deg,yaw_dev_max_deg,block_dx_cm,block_dy_cm,block_x0,block_xN,csv
0.1,0,0,19.74579668045044,1,"upright  pelvis_z_min=0.862  max_pitch_dev=9.1° max_yaw_dev=1.9° drift=5.6cm  block_moved=(+1.3,+1.8)cm",0.86192,0.87328,5.553469005945743,9.126336745482465,1.8978332260869308,1.2599999999999945,1.7760000000000011,0.52,0.5326,runs/mass_sweep/trial_m0.100kg_t00.csv
0.1,1,0,19.747846841812134,1,"upright  pelvis_z_min=0.858  max_pitch_dev=10.7° max_yaw_dev=2.5° drift=6.5cm  block_moved=(+1.8,+1.8)cm",0.85818,0.86296,6.451012401166192,10.690756676188663,2.489379316710611,1.8189999999999928,1.8110000000000002,0.52,0.53819,runs/mass_sweep/trial_m0.100kg_t01.csv
0.1,2,0,19.750002145767212,1,"upright  pelvis_z_min=0.869  max_pitch_dev=6.6° max_yaw_dev=1.3° drift=5.2cm  block_moved=(+1.4,+1.7)cm",0.86872,0.86872,5.167485365242944,6.575894358463215,1.3068402919961777,1.3900000000000023,1.7450000000000008,0.52,0.5339,runs/mass_sweep/trial_m0.100kg_t02.csv
0.5,0,0,19.749640226364136,1,"upright  pelvis_z_min=0.857  max_pitch_dev=11.9° max_yaw_dev=2.8° drift=7.6cm  block_moved=(+4.7,+5.8)cm",0.85668,0.86111,7.551717420560704,11.901056563854548,2.7755965014533857,4.711999999999994,5.791,0.52,0.56712,runs/mass_sweep/trial_m0.500kg_t00.csv
0.5,1,0,19.75026535987854,1,"upright  pelvis_z_min=0.871  max_pitch_dev=4.8° max_yaw_dev=1.4° drift=4.6cm  block_moved=(+1.0,+1.7)cm",0.87092,0.87168,4.609321533588213,4.788517709321891,1.3956028098940116,0.9649999999999936,1.7090000000000007,0.52,0.52965,runs/mass_sweep/trial_m0.500kg_t01.csv
0.5,2,0,19.78528881072998,1,"upright  pelvis_z_min=0.861  max_pitch_dev=9.8° max_yaw_dev=2.5° drift=6.5cm  block_moved=(+0.8,+1.7)cm",0.86144,0.86144,6.48324401823655,9.784788391658948,2.453164049402396,0.7959999999999967,1.7350000000000003,0.52,0.52796,runs/mass_sweep/trial_m0.500kg_t02.csv
1.0,0,0,19.751662015914917,1,"upright  pelvis_z_min=0.857  max_pitch_dev=10.7° max_yaw_dev=3.0° drift=7.0cm  block_moved=(+1.1,+2.0)cm",0.85723,0.87967,7.03776157595581,10.699213745715797,2.9759373147487977,1.1079999999999979,1.9540000000000002,0.52,0.53108,runs/mass_sweep/trial_m1.000kg_t00.csv
1.0,1,0,19.75365662574768,1,"upright  pelvis_z_min=0.868  max_pitch_dev=6.3° max_yaw_dev=1.9° drift=5.3cm  block_moved=(+0.7,+1.8)cm",0.86766,0.86766,5.26464443243796,6.254171447229792,1.9288052713927932,0.6699999999999928,1.823000000000001,0.52,0.5267,runs/mass_sweep/trial_m1.000kg_t01.csv
1.0,2,0,19.802391052246094,1,"upright  pelvis_z_min=0.871  max_pitch_dev=4.4° max_yaw_dev=1.6° drift=4.5cm  block_moved=(+0.5,+1.6)cm",0.87095,0.87219,4.4754434417161395,4.425503787808191,1.5562658440303743,0.544,1.5720000000000012,0.52,0.52544,runs/mass_sweep/trial_m1.000kg_t02.csv
2.0,0,0,19.74800205230713,1,"upright  pelvis_z_min=0.854  max_pitch_dev=13.8° max_yaw_dev=3.1° drift=10.1cm  block_moved=(+0.4,+0.9)cm",0.85445,0.85445,10.141640597063178,13.83228508136645,3.0651591780911964,0.37199999999999456,0.8610000000000007,0.52,0.52372,runs/mass_sweep/trial_m2.000kg_t00.csv
2.0,1,0,19.81167244911194,1,"upright  pelvis_z_min=0.869  max_pitch_dev=5.0° max_yaw_dev=2.0° drift=4.3cm  block_moved=(+0.4,+1.0)cm",0.86898,0.87262,4.317784617138747,4.985861906991161,1.9828710345645355,0.3750000000000031,1.0300000000000002,0.52,0.52375,runs/mass_sweep/trial_m2.000kg_t01.csv
2.0,2,0,19.812599182128906,1,"upright  pelvis_z_min=0.871  max_pitch_dev=3.7° max_yaw_dev=1.6° drift=4.3cm  block_moved=(+0.5,+1.0)cm",0.87074,0.87079,4.306340093397177,3.7425261288327913,1.6394607353391635,0.47199999999999465,0.9860000000000008,0.52,0.52472,runs/mass_sweep/trial_m2.000kg_t02.csv
5.0,0,0,19.74769949913025,1,"upright  pelvis_z_min=0.868  max_pitch_dev=4.9° max_yaw_dev=2.2° drift=4.5cm  block_moved=(+0.2,+0.3)cm",0.86837,0.8711,4.4668473222173155,4.884847655058623,2.191859788851474,0.20399999999999308,0.316000000000001,0.52,0.52204,runs/mass_sweep/trial_m5.000kg_t00.csv
5.0,1,0,19.7477970123291,1,"upright  pelvis_z_min=0.863  max_pitch_dev=8.4° max_yaw_dev=2.8° drift=6.4cm  block_moved=(+0.2,+0.3)cm",0.86295,0.86295,6.376879566057367,8.362578098061615,2.7703084903524555,0.17300000000000093,0.3170000000000006,0.52,0.52173,runs/mass_sweep/trial_m5.000kg_t01.csv
5.0,2,0,19.74953579902649,1,"upright  pelvis_z_min=0.854  max_pitch_dev=9.6° max_yaw_dev=4.7° drift=6.7cm  block_moved=(+0.2,+0.3)cm",0.85402,0.85402,6.66800907317919,9.635390184472072,4.670124243368903,0.18500000000000183,0.32000000000000084,0.52,0.52185,runs/mass_sweep/trial_m5.000kg_t02.csv
