t,block_x,block_y,block_z,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,wrist_x,wrist_y,wrist_z,wrist_qw,wrist_qx,wrist_qy,wrist_qz,rsp_des,rsr_des,rsy_des,rel_des,rsp_now,rsr_now,rsy_now,rel_now
0.0020,0.45000,-0.05000,1.06696,-0.00002,-0.00000,1.02996,1.00000,-0.00000,0.00001,0.00013,0.23400,-0.20950,1.12498,1.00000,0.00000,0.00000,0.00000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000
0.0040,0.45000,-0.05000,1.06688,-0.00006,-0.00000,1.02988,1.00000,-0.00000,0.00002,0.00037,0.23400,-0.20949,1.12494,1.00000,-0.00000,-0.00000,0.00002,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0000,-0.0000,0.0000
0.0060,0.45000,-0.05000,1.06682,-0.00012,-0.00000,1.02977,1.00000,-0.00000,0.00003,0.00072,0.23399,-0.20948,1.12487,1.00000,-0.00001,-0.00000,0.00007,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0001,-0.0000,0.0000
0.0080,0.45000,-0.05000,1.06677,-0.00018,-0.00000,1.02961,1.00000,-0.00000,0.00004,0.00114,0.23398,-0.20946,1.12475,1.00000,-0.00003,-0.00001,0.00013,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0001,-0.0001,0.0000
0.0100,0.45000,-0.05000,1.06673,-0.00026,-0.00000,1.02942,1.00000,0.00001,0.00004,0.00167,0.23397,-0.20943,1.12460,1.00000,-0.00005,-0.00003,0.00022,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0001,-0.0001,0.0000
0.0120,0.45000,-0.05000,1.06670,-0.00035,-0.00001,1.02920,1.00000,0.00002,0.00005,0.00229,0.23396,-0.20939,1.12441,1.00000,-0.00006,-0.00004,0.00033,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0002,-0.0001,0.0000
0.0140,0.45000,-0.05000,1.06668,-0.00046,-0.00001,1.02896,1.00000,0.00002,0.00005,0.00296,0.23394,-0.20935,1.12420,1.00000,-0.00007,-0.00004,0.00047,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0002,-0.0002,0.0001
0.0160,0.45000,-0.05000,1.06666,-0.00057,-0.00001,1.02869,0.99999,0.00002,0.00005,0.00367,0.23392,-0.20930,1.12395,1.00000,-0.00009,-0.00004,0.00063,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0003,-0.0002,0.0001
0.0180,0.45000,-0.05000,1.06665,-0.00070,-0.00002,1.02838,0.99999,0.00003,0.00003,0.00443,0.23389,-0.20924,1.12367,1.00000,-0.00012,-0.00003,0.00081,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0004,-0.0003,0.0002
0.0200,0.45000,-0.05000,1.06665,-0.00083,-0.00002,1.02804,0.99999,0.00003,-0.00000,0.00521,0.23387,-0.20917,1.12336,1.00000,-0.00015,-0.00002,0.00102,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0004,-0.0003,0.0002
0.0220,0.45000,-0.05000,1.06664,-0.00095,-0.00002,1.02767,0.99998,0.00004,-0.00006,0.00601,0.23384,-0.20909,1.12302,1.00000,-0.00019,-0.00003,0.00125,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0005,-0.0004,0.0003
0.0240,0.45000,-0.05000,1.06664,-0.00108,-0.00002,1.02726,0.99998,0.00005,-0.00014,0.00682,0.23381,-0.20900,1.12266,1.00000,-0.00022,-0.00005,0.00149,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0006,-0.0004,0.0004
0.0260,0.45000,-0.05000,1.06664,-0.00121,-0.00002,1.02681,0.99997,0.00005,-0.00026,0.00762,0.23378,-0.20891,1.12226,1.00000,-0.00026,-0.00008,0.00176,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0007,-0.0004,0.0005
0.0280,0.45000,-0.05000,1.06665,-0.00132,-0.00002,1.02634,0.99997,0.00007,-0.00041,0.00834,0.23376,-0.20881,1.12184,1.00000,-0.00030,-0.00015,0.00204,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0008,-0.0005,0.0006
0.0300,0.45000,-0.05000,1.06665,-0.00143,-0.00001,1.02587,0.99996,0.00009,-0.00060,0.00898,0.23373,-0.20870,1.12140,1.00000,-0.00032,-0.00024,0.00233,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0009,-0.0005,0.0007
0.0320,0.45000,-0.05000,1.06666,-0.00153,-0.00000,1.02539,0.99995,0.00010,-0.00083,0.00970,0.23370,-0.20859,1.12096,1.00000,-0.00035,-0.00031,0.00262,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0010,-0.0005,0.0010
0.0340,0.45000,-0.05000,1.06666,-0.00163,0.00001,1.02491,0.99994,0.00010,-0.00111,0.01046,0.23367,-0.20847,1.12052,1.00000,-0.00039,-0.00039,0.00293,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,-0.0006,0.0013
0.0360,0.45000,-0.05000,1.06667,-0.00172,0.00001,1.02442,0.99994,0.00009,-0.00144,0.01127,0.23363,-0.20835,1.12008,0.99999,-0.00044,-0.00047,0.00326,-0.0000,0.0000,0.0000,0.0000,0.0001,-0.0012,-0.0006,0.0016
0.0380,0.45000,-0.05000,1.06668,-0.00180,0.00002,1.02391,0.99992,0.00007,-0.00183,0.01211,0.23358,-0.20821,1.11964,0.99999,-0.00049,-0.00058,0.00361,-0.0000,0.0000,0.0000,0.0000,0.0003,-0.0013,-0.0006,0.0019
0.0400,0.45000,-0.05000,1.06669,-0.00186,0.00003,1.02339,0.99991,0.00006,-0.00228,0.01299,0.23354,-0.20807,1.11920,0.99999,-0.00056,-0.00072,0.00398,-0.0000,0.0000,0.0000,0.0000,0.0005,-0.0014,-0.0006,0.0023
0.0420,0.45000,-0.05000,1.06669,-0.00192,0.00004,1.02285,0.99990,0.00004,-0.00277,0.01384,0.23350,-0.20791,1.11877,0.99999,-0.00063,-0.00089,0.00436,-0.0000,0.0000,0.0000,0.0000,0.0007,-0.0015,-0.0007,0.0026
0.0440,0.45000,-0.05000,1.06670,-0.00197,0.00004,1.02229,0.99989,0.00000,-0.00332,0.01467,0.23345,-0.20775,1.11834,0.99999,-0.00070,-0.00109,0.00476,-0.0000,0.0000,0.0000,0.0000,0.0010,-0.0016,-0.0007,0.0030
0.0460,0.45000,-0.05000,1.06671,-0.00201,0.00004,1.02172,0.99987,-0.00007,-0.00390,0.01548,0.23341,-0.20758,1.11791,0.99999,-0.00079,-0.00135,0.00517,-0.0000,0.0000,0.0000,0.0000,0.0012,-0.0017,-0.0007,0.0034
0.0480,0.45000,-0.05000,1.06672,-0.00205,0.00003,1.02113,0.99986,-0.00016,-0.00453,0.01628,0.23336,-0.20741,1.11750,0.99998,-0.00090,-0.00162,0.00560,-0.0000,0.0000,0.0000,0.0000,0.0015,-0.0018,-0.0007,0.0038
