t,block_x,block_y,block_z,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,wrist_x,wrist_y,wrist_z,wrist_qw,wrist_qx,wrist_qy,wrist_qz,rsp_des,rsr_des,rsy_des,rel_des,rsp_now,rsr_now,rsy_now,rel_now,tau_l0,tau_l1,tau_l2,tau_l3,tau_l4,tau_l5,tau_l6,tau_l7,tau_l8,tau_l9,tau_l10,tau_l11
0.0020,0.30000,0.00000,0.97696,-0.00002,-0.00000,1.02996,1.00000,-0.00000,0.00001,0.00013,0.23400,-0.20950,1.12498,1.00000,0.00000,0.00000,0.00000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-32.000,0.000,0.000,108.000,-12.000,0.000,-32.000,0.000,0.000,108.000,-12.000,0.000
0.0040,0.30000,0.00000,0.97688,-0.00006,-0.00000,1.02988,1.00000,-0.00000,0.00002,0.00037,0.23400,-0.20949,1.12494,1.00000,-0.00000,-0.00000,0.00002,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0000,-0.0000,0.0000,-29.911,2.191,-0.017,98.201,-11.660,-0.000,-28.964,2.500,-0.026,97.977,-11.663,-0.000
0.0060,0.30000,0.00000,0.97682,-0.00012,-0.00000,1.02977,1.00000,-0.00000,0.00003,0.00072,0.23399,-0.20948,1.12487,1.00000,-0.00001,-0.00000,0.00007,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0001,-0.0000,0.0000,-27.826,4.237,-0.034,88.770,-11.306,-0.000,-26.063,4.851,-0.051,88.350,-11.313,-0.000
0.0080,0.30000,-0.00000,0.97677,-0.00018,-0.00000,1.02961,1.00000,-0.00000,0.00004,0.00114,0.23398,-0.20946,1.12475,1.00000,-0.00003,-0.00001,0.00013,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0001,-0.0001,0.0000,-25.756,6.132,-0.049,79.733,-10.941,-0.000,-23.302,7.046,-0.072,79.145,-10.951,-0.000
0.0100,0.30000,0.00000,0.97673,-0.00026,-0.00000,1.02942,1.00000,0.00001,0.00004,0.00167,0.23397,-0.20943,1.12460,1.00000,-0.00005,-0.00003,0.00022,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0001,-0.0001,0.0000,-23.708,7.875,-0.062,71.113,-10.566,-0.000,-20.687,9.080,-0.090,70.386,-10.580,-0.000
0.0120,0.30000,-0.00000,0.97670,-0.00035,-0.00001,1.02920,1.00000,0.00002,0.00005,0.00229,0.23396,-0.20939,1.12441,1.00000,-0.00006,-0.00004,0.00033,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0002,-0.0001,0.0000,-22.201,9.565,-0.050,66.155,-9.565,0.016,-18.153,10.955,-0.033,62.118,-10.202,-0.000
0.0140,0.30000,0.00000,0.97668,-0.00046,-0.00001,1.02896,1.00000,0.00002,0.00005,0.00296,0.23394,-0.20935,1.12420,1.00000,-0.00007,-0.00004,0.00047,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0002,-0.0002,0.0001,-20.633,11.263,-0.123,61.209,-8.579,0.034,-16.177,12.616,-0.209,57.777,-9.135,0.012
0.0160,0.30000,-0.00000,0.97666,-0.00057,-0.00001,1.02869,0.99999,0.00002,0.00005,0.00367,0.23392,-0.20930,1.12395,1.00000,-0.00009,-0.00004,0.00063,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0003,-0.0002,0.0001,-18.833,12.817,-0.244,56.247,-7.620,0.019,-14.290,14.231,-0.374,53.344,-8.103,0.026
0.0180,0.30000,-0.00000,0.97665,-0.00070,-0.00002,1.02838,0.99999,0.00003,0.00003,0.00443,0.23389,-0.20924,1.12367,1.00000,-0.00012,-0.00003,0.00081,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0004,-0.0003,0.0002,-17.076,14.266,-0.354,51.366,-6.686,0.002,-12.474,15.764,-0.519,48.889,-7.109,0.040
0.0200,0.30000,-0.00000,0.97665,-0.00083,-0.00002,1.02804,0.99999,0.00003,-0.00000,0.00521,0.23387,-0.20917,1.12336,1.00000,-0.00015,-0.00002,0.00102,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0004,-0.0003,0.0002,-15.544,15.639,-0.403,46.724,-5.761,0.012,-10.715,17.191,-0.634,44.483,-6.152,0.055
0.0220,0.30000,-0.00000,0.97664,-0.00095,-0.00002,1.02767,0.99998,0.00004,-0.00006,0.00601,0.23384,-0.20909,1.12302,1.00000,-0.00019,-0.00003,0.00125,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0005,-0.0004,0.0003,-14.046,16.897,-0.448,42.204,-4.865,0.021,-9.042,18.519,-0.729,40.165,-5.232,0.071
0.0240,0.30000,-0.00000,0.97664,-0.00108,-0.00002,1.02726,0.99998,0.00005,-0.00014,0.00682,0.23381,-0.20900,1.12266,1.00000,-0.00022,-0.00005,0.00149,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0006,-0.0004,0.0004,-12.589,18.037,-0.490,37.823,-4.000,0.031,-7.461,19.741,-0.808,35.973,-4.349,0.087
0.0260,0.30000,-0.00000,0.97664,-0.00121,-0.00002,1.02681,0.99997,0.00005,-0.00026,0.00753,0.23378,-0.20891,1.12226,1.00000,-0.00026,-0.00008,0.00176,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0007,-0.0004,0.0005,10.774,24.968,70.533,25.782,7.854,1.173,14.000,15.701,-69.851,25.329,6.253,-0.461
0.0280,0.30000,-0.00000,0.97665,-0.00132,-0.00002,1.02634,0.99997,0.00006,-0.00041,0.00818,0.23376,-0.20881,1.12185,1.00000,-0.00030,-0.00015,0.00203,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0008,-0.0005,0.0006,10.713,25.683,70.106,21.499,8.190,1.173,13.389,16.455,-69.740,22.149,6.934,-0.448
0.0300,0.30000,-0.00000,0.97665,-0.00143,-0.00002,1.02587,0.99996,0.00007,-0.00059,0.00876,0.23373,-0.20871,1.12141,1.00000,-0.00032,-0.00024,0.00231,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0009,-0.0005,0.0008,9.634,26.841,70.229,18.300,8.226,1.260,12.927,17.039,-69.439,19.101,7.561,-0.455
0.0320,0.30000,-0.00000,0.97666,-0.00153,-0.00001,1.02540,0.99996,0.00008,-0.00083,0.00942,0.23370,-0.20860,1.12098,1.00000,-0.00035,-0.00031,0.00259,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0009,-0.0005,0.0010,-16.099,15.508,145.028,51.547,8.393,0.295,-8.318,38.055,-134.065,52.754,5.951,0.949
0.0340,0.30000,-0.00000,0.97666,-0.00163,-0.00000,1.02492,0.99995,0.00008,-0.00111,0.01014,0.23366,-0.20849,1.12054,1.00000,-0.00039,-0.00039,0.00289,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0010,-0.0005,0.0013,-15.618,17.484,144.864,45.427,8.250,0.367,-6.790,39.625,-133.786,47.913,5.974,0.968
0.0360,0.30000,-0.00000,0.97667,-0.00171,0.00000,1.02443,0.99994,0.00007,-0.00145,0.01092,0.23362,-0.20837,1.12010,0.99999,-0.00044,-0.00048,0.00321,-0.0000,0.0000,0.0000,0.0000,0.0001,-0.0011,-0.0006,0.0016,-15.047,19.243,144.668,39.472,8.081,0.430,-5.253,41.035,-133.503,43.246,5.994,0.975
0.0380,0.30000,-0.00000,0.97668,-0.00179,0.00001,1.02393,0.99993,0.00007,-0.00183,0.01175,0.23357,-0.20823,1.11967,0.99999,-0.00050,-0.00059,0.00354,-0.0000,0.0000,0.0000,0.0000,0.0002,-0.0012,-0.0006,0.0020,-14.440,20.806,144.430,33.742,7.887,0.494,-3.826,42.276,-133.222,38.672,5.991,0.978
0.0400,0.30000,-0.00000,0.97669,-0.00186,0.00002,1.02343,0.99992,0.00007,-0.00227,0.01262,0.23353,-0.20809,1.11923,0.99999,-0.00054,-0.00072,0.00390,-0.0000,0.0000,0.0000,0.0000,0.0004,-0.0013,-0.0006,0.0023,-13.957,22.073,144.566,29.047,8.394,0.517,-2.469,43.375,-132.794,34.259,5.960,0.975
0.0420,0.30000,-0.00000,0.97669,-0.00191,0.00003,1.02291,0.99990,0.00007,-0.00277,0.01352,0.23348,-0.20794,1.11881,0.99999,-0.00058,-0.00089,0.00427,-0.0000,0.0000,0.0000,0.0000,0.0007,-0.0014,-0.0007,0.0027,-13.213,23.034,144.519,24.857,8.961,0.615,-1.219,44.353,-132.406,30.011,5.894,0.967
0.0440,0.30000,-0.00000,0.97670,-0.00195,0.00004,1.02237,0.99989,0.00006,-0.00332,0.01439,0.23343,-0.20778,1.11838,0.99999,-0.00063,-0.00108,0.00466,-0.0000,0.0000,0.0000,0.0000,0.0009,-0.0015,-0.0007,0.0031,-12.433,23.841,144.457,20.861,9.508,0.721,-0.059,45.182,-132.005,25.952,5.799,0.951
0.0460,0.30000,-0.00000,0.97671,-0.00199,0.00004,1.02182,0.99988,0.00002,-0.00391,0.01527,0.23338,-0.20762,1.11796,0.99999,-0.00068,-0.00133,0.00506,-0.0000,0.0000,0.0000,0.0000,0.0012,-0.0016,-0.0007,0.0034,-10.108,24.078,143.975,17.745,10.091,0.786,0.835,46.000,-131.703,21.994,5.676,0.925
0.0480,0.30000,-0.00000,0.97672,-0.00202,0.00003,1.02125,0.99986,-0.00006,-0.00454,0.01614,0.23333,-0.20744,1.11755,0.99998,-0.00077,-0.00160,0.00549,-0.0000,0.0000,0.0000,0.0000,0.0015,-0.0017,-0.0007,0.0038,-5.573,17.762,142.176,20.506,9.993,2.909,3.129,53.907,-121.212,25.824,5.588,-1.836
0.0500,0.30000,-0.00000,0.97672,-0.00205,0.00002,1.02065,0.99984,-0.00016,-0.00522,0.01700,0.23328,-0.20726,1.11715,0.99998,-0.00089,-0.00190,0.00593,-0.0000,0.0000,0.0000,0.0000,0.0018,-0.0018,-0.0007,0.0042,-3.363,18.114,141.557,17.105,10.549,2.967,2.514,54.194,-121.503,22.906,6.110,-1.893
0.0520,0.30000,-0.00000,0.97673,-0.00207,-0.00000,1.02003,0.99982,-0.00028,-0.00594,0.01787,0.23323,-0.20708,1.11676,0.99998,-0.00103,-0.00225,0.00639,-0.0000,0.0000,0.0000,0.0000,0.0021,-0.0019,-0.0007,0.0045,-1.159,18.389,141.029,13.891,11.106,3.024,1.442,54.077,-121.464,20.639,6.734,-1.972
0.0540,0.30000,-0.00000,0.97674,-0.00208,-0.00003,1.01938,0.99980,-0.00041,-0.00670,0.01874,0.23317,-0.20689,1.11637,0.99997,-0.00118,-0.00265,0.00686,-0.0000,0.0000,0.0000,0.0000,0.0025,-0.0020,-0.0007,0.0048,0.947,18.554,140.497,10.944,11.673,3.079,0.391,53.862,-121.381,18.530,7.339,-2.056
0.0560,0.30000,-0.00000,0.97674,-0.00208,-0.00006,1.01870,0.99978,-0.00056,-0.00751,0.01960,0.23313,-0.20669,1.11599,0.99997,-0.00134,-0.00310,0.00735,-0.0000,0.0000,0.0000,0.0000,0.0028,-0.0020,-0.0008,0.0051,2.956,18.614,139.964,8.247,12.249,3.133,-0.615,53.553,-121.266,16.576,7.928,-2.144
0.0580,0.30000,-0.00000,0.97675,-0.00206,-0.00010,1.01801,0.99976,-0.00072,-0.00837,0.02046,0.23308,-0.20648,1.11561,0.99996,-0.00152,-0.00361,0.00785,-0.0000,0.0000,0.0000,0.0000,0.0032,-0.0021,-0.0008,0.0053,4.862,18.578,139.430,5.787,12.835,3.184,-1.609,53.153,-121.123,14.780,8.502,-2.237
0.0600,0.30000,-0.00000,0.97675,-0.00204,-0.00014,1.01729,0.99973,-0.00089,-0.00928,0.02132,0.23304,-0.20626,1.11525,0.99995,-0.00170,-0.00418,0.00837,-0.0000,0.0000,0.0000,0.0000,0.0036,-0.0021,-0.0008,0.0055,6.583,18.504,139.078,3.207,13.461,3.214,-2.680,52.633,-120.955,13.075,9.079,-2.299
