mass_kg,delta_x,trial_idx,rc,wall_seconds,success,reason,pelvis_z_min,pelvis_zN,base_xy_drift_max_cm,pitch_dev_max_deg,pitch_dev_integral_degs,yaw_dev_max_deg,leg_torque_peak_Nm,leg_torque_rms_norm_Nm,block_dx_cm,block_dy_cm,block_x0,block_xN,csv
5.0,0.25,0,0,11.74654769897461,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.8° max_yaw_dev=1.1° drift=5.6cm  block_moved=(+0.2,+0.3)cm",0.87023,0.87308,5.631271614830881,0.8191250950735167,3.217393177671449,1.1128699464032827,79.062,111.73509153881753,0.16899999999999693,0.32200000000000006,0.52,0.52169,runs/sweeps/amp_dx0.25_m5/trial_m5.000kg_t00.csv
5.0,0.25,1,0,11.741589069366455,1,"upright  pelvis_z_min=0.869  max_pitch_dev=1.0° max_yaw_dev=1.4° drift=6.0cm  block_moved=(+0.2,+0.3)cm",0.86936,0.87251,6.002406184189804,0.9920128527705483,3.6267174714619994,1.427934184105709,80.027,112.45361969040465,0.15699999999999603,0.3240000000000007,0.52,0.52157,runs/sweeps/amp_dx0.25_m5/trial_m5.000kg_t01.csv
5.0,0.25,2,0,11.750401020050049,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.0° drift=5.9cm  block_moved=(+0.2,+0.3)cm",0.87024,0.87328,5.860966643822501,0.7240588158261243,2.8329166402163453,1.0366174375772594,79.103,110.76950308668046,0.15999999999999348,0.316000000000001,0.52,0.5216,runs/sweeps/amp_dx0.25_m5/trial_m5.000kg_t02.csv
5.0,0.4,0,0,11.742942571640015,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.8° max_yaw_dev=1.1° drift=5.6cm  block_moved=(+0.2,+0.3)cm",0.87039,0.87309,5.628556120356267,0.7516800234768937,3.0741499929576603,1.0741630439035106,78.781,111.21743589606955,0.17699999999999383,0.3240000000000007,0.52,0.52177,runs/sweeps/amp_dx0.40_m5/trial_m5.000kg_t00.csv
5.0,0.4,1,0,11.799052238464355,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.0° max_yaw_dev=1.1° drift=5.6cm  block_moved=(+0.2,+0.3)cm",0.87018,0.87337,5.6025105979373215,0.9547487422282259,3.474563971848183,1.118951357640185,78.978,112.08238929133078,0.16599999999999948,0.3270000000000009,0.52,0.52166,runs/sweeps/amp_dx0.40_m5/trial_m5.000kg_t01.csv
5.0,0.4,2,0,11.740644454956055,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.0° drift=5.7cm  block_moved=(+0.2,+0.3)cm",0.87019,0.87433,5.682853596565725,0.7388818779667563,2.6544438821638012,1.026224081655311,79.009,110.92319461905579,0.16399999999999748,0.3259999999999999,0.52,0.52164,runs/sweeps/amp_dx0.40_m5/trial_m5.000kg_t02.csv
5.0,0.6,0,0,11.745563268661499,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.1° drift=5.7cm  block_moved=(+0.2,+0.3)cm",0.87008,0.87417,5.6990579046014265,0.7136012625457457,2.8021391100080595,1.0591096800377997,79.459,110.97312028858516,0.15300000000000313,0.32000000000000084,0.52,0.52153,runs/sweeps/amp_dx0.60_m5/trial_m5.000kg_t00.csv
5.0,0.6,1,0,11.741637945175171,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.9° max_yaw_dev=1.0° drift=5.4cm  block_moved=(+0.2,+0.3)cm",0.87017,0.87414,5.368735512203967,0.911924725137089,3.2182918449249613,1.0463022488813678,79.302,111.87324205706544,0.16699999999999493,0.33299999999999996,0.52,0.52167,runs/sweeps/amp_dx0.60_m5/trial_m5.000kg_t01.csv
5.0,0.6,2,0,11.806079864501953,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.9° max_yaw_dev=0.9° drift=5.1cm  block_moved=(+0.2,+0.4)cm",0.87027,0.87367,5.081772230236219,0.9423936423712487,3.2574246249688934,0.9151495103555689,78.486,112.28882589541479,0.19000000000000128,0.36400000000000043,0.52,0.5219,runs/sweeps/amp_dx0.60_m5/trial_m5.000kg_t02.csv
5.0,0.8,0,0,11.74502158164978,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.9° max_yaw_dev=1.1° drift=5.8cm  block_moved=(+0.2,+0.3)cm",0.8702,0.87434,5.815224243311688,0.8619160871640243,2.545542663293441,1.0860116924614438,78.919,110.8438152323055,0.15100000000000113,0.31000000000000055,0.52,0.52151,runs/sweeps/amp_dx0.80_m5/trial_m5.000kg_t00.csv
5.0,0.8,1,0,11.741592645645142,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.0° drift=5.7cm  block_moved=(+0.2,+0.3)cm",0.87012,0.87384,5.722295780541233,0.6677795166592855,2.6668811332841442,1.009933500462914,79.175,111.099076054711,0.15800000000000258,0.32000000000000084,0.52,0.52158,runs/sweeps/amp_dx0.80_m5/trial_m5.000kg_t01.csv
5.0,0.8,2,0,11.74166202545166,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.1° drift=5.8cm  block_moved=(+0.2,+0.3)cm",0.87005,0.87456,5.813029244722583,0.6578798252369253,2.771551788800397,1.1223157473850378,79.173,111.0103128542481,0.15100000000000113,0.3170000000000006,0.52,0.52151,runs/sweeps/amp_dx0.80_m5/trial_m5.000kg_t02.csv
